date,product,ticker,close,strike,level_pct,barrier_px,buf_barrier,ki_px,buf_ki
2026-06-29,B,MU,1145.280029,345.09,3.318786,276.072,3.148483,86.2725,12.275146
2026-06-29,B,PLTR,115.699997,177.49,0.651868,141.992,-0.185165,44.3725,1.607471
2026-06-30,A,^GSPC,7499.359863,7472.79,1.003556,6351.8715,0.180654,2615.4765,1.867302
2026-06-30,A,^KS200,1370.72998,1477.22,0.927912,1255.637,0.091661,517.027,1.651177
2026-06-30,A,^N225,70062.320312,72353.96,0.968327,61500.866,0.139209,25323.886,1.76665
2026-06-30,B,MU,1154.290039,345.09,3.344896,276.072,3.18112,86.2725,12.379583
2026-06-30,B,PLTR,116.669998,177.49,0.657333,141.992,-0.178334,44.3725,1.629331
2026-07-01,A,^GSPC,7483.22998,7472.79,1.001397,6351.8715,0.178114,2615.4765,1.861134
2026-07-01,A,^KS200,1335.359985,1477.22,0.903968,1255.637,0.063492,517.027,1.582766
2026-07-01,A,^N225,70474.960938,72353.96,0.97403,61500.866,0.145918,25323.886,1.782944
2026-07-01,B,MU,1032.280029,345.09,2.991336,276.072,2.73917,86.2725,10.965343
2026-07-01,B,PLTR,125.730003,177.49,0.708378,141.992,-0.114528,44.3725,1.833512
2026-07-02,A,^GSPC,7483.240234,7472.79,1.001398,6351.8715,0.178116,2615.4765,1.861138
2026-07-02,A,^KS200,1219.619995,1477.22,0.825618,1255.637,-0.028684,517.027,1.35891
2026-07-02,A,^N225,68733.148438,72353.96,0.949957,61500.866,0.117596,25323.886,1.714163
2026-07-02,B,MU,975.559998,345.09,2.826973,276.072,2.533716,86.2725,10.307891
2026-07-02,B,PLTR,129.300003,177.49,0.728492,141.992,-0.089385,44.3725,1.913967
2026-07-03,A,^KS200,1299.300049,1477.22,0.879558,1255.637,0.034774,517.027,1.513022
2026-07-03,A,^N225,69744.070312,72353.96,0.963929,61500.866,0.134034,25323.886,1.754082
2026-07-06,A,^GSPC,7537.430176,7472.79,1.00865,6351.8715,0.186647,2615.4765,1.881857
2026-07-06,A,^KS200,1293.130005,1477.22,0.875381,1255.637,0.02986,517.027,1.501088
2026-07-06,A,^N225,69737.6875,72353.96,0.963841,61500.866,0.13393,25323.886,1.75383
2026-07-06,B,MU,984.75,345.09,2.853603,276.072,2.567004,86.2725,10.414414
2026-07-06,B,PLTR,132.539993,177.49,0.746746,141.992,-0.066567,44.3725,1.986985
2026-07-07,A,^GSPC,7503.850098,7472.79,1.004156,6351.8715,0.181361,2615.4765,1.869018
